enrollment_code,gender,bonus,penalty,school_code
ONXDJG,F,1.9,0.0,PYHS
QXOAYH,F,3.8,0.5,SSHS
ISKURE,F,-0.0,1.5,NKHS
IGKZYF,M,1.6,0.5,HJHS
NNCUHB,M,3.7,0.0,SWHS
HAQNNA,M,5.3,0.0,MWHS
QNLSVK,F,0.5,0.0,PYHS
WLXMFT,M,4.9,0.0,NKHS
NRUWJY,F,0.7,0.0,NKHS
FDHYYA,M,2.5,0.5,MWHS
SGDWEK,M,-0.0,0.0,SSHS
NCVWPL,M,0.0,0.0,SWHS
UOVTNG,F,0.4,0.0,PYHS
EDXANA,F,1.9,0.0,HJHS
ZJNPBZ,F,3.5,0.0,MWHS
XXRFGP,F,2.7,0.0,MWHS
UNVREA,F,3.4,0.5,HJHS
JDELDM,M,3.4,0.0,NKHS
RWFFGX,F,2.3,0.5,HJHS
FUTJFQ,M,2.5,1.5,MWHS
EQVWEH,M,3.3,0.0,MWHS
EZKMAM,M,3.2,1.0,NKHS
TYRGWF,F,5.7,0.0,SSHS
QERSXF,F,1.7,0.0,HJHS
WUBBRW,M,1.9,0.0,PYHS
GVTZJL,M,3.9,0.5,HJHS
CQHFHO,F,6.2,0.0,SSHS
XVHCKA,F,1.3,0.0,SSHS
YKVZES,F,3.8,0.0,SWHS
BMRGBO,M,1.4,0.0,SSHS
DYJLCY,F,2.3,1.0,MWHS
RTMBDY,M,0.0,0.0,SWHS
XVEDWK,M,1.6,0.5,HJHS
FSNIGD,M,2.7,0.0,SSHS
ZECQCY,M,-0.0,0.0,HJHS
KUVUMA,F,2.7,0.0,MWHS
FROBZJ,M,5.8,0.0,SWHS
IZPDMQ,M,4.3,1.0,SSHS
LKCUZF,F,4.0,0.0,SSHS
BPVIAH,M,0.0,1.0,NKHS
WADMQG,F,1.9,0.0,SWHS
RZOLRX,F,0.9,0.5,SSHS
KDHBUL,F,5.2,0.0,SSHS
FCEYHP,F,0.0,0.0,SSHS
VQXVKL,M,3.3,0.5,HJHS
ZJFYXN,M,2.4,0.0,SWHS
HFQLUN,M,1.2,1.0,MWHS
VNRQMQ,F,1.2,0.0,HJHS
DDDONY,M,3.4,0.0,NKHS
WYDKXG,F,4.6,0.0,SWHS
OHFSXU,M,1.7,0.0,MWHS
SBOTQX,M,2.5,0.0,SWHS
VYKKQZ,F,2.9,0.0,HJHS
MCIBJK,M,1.8,0.0,HJHS
CMSNII,M,1.9,0.0,NKHS
PIGYEM,M,0.0,0.0,SSHS
DXGHOT,F,0.8,0.0,HJHS
PYUFJE,M,1.6,0.0,PYHS
MLZWXF,M,1.3,0.5,NKHS
CSKLRV,F,3.0,0.0,HJHS
NALHYK,M,0.0,0.0,SWHS
XBTCYY,M,1.9,1.0,SWHS
RWCEMP,M,0.3,0.0,SSHS
BKSRUU,F,6.4,0.0,SSHS
ZXWJQF,M,3.3,1.0,PYHS
JAMDHJ,F,2.5,0.0,SSHS
KYCGNT,F,5.1,0.0,HJHS
OESJHR,F,2.9,0.5,SWHS
KIYTZR,F,0.3,1.5,NKHS
QSVMBF,M,4.9,0.0,MWHS
HGFOAL,F,1.5,1.0,NKHS
SLBFMP,M,0.0,0.0,PYHS
PIBTNQ,M,4.8,0.0,HJHS
HQOMAN,F,0.0,0.0,SSHS
PLSHII,M,0.9,0.0,MWHS
KZFSGF,F,0.8,0.0,SWHS
RACLTG,F,4.5,1.0,MWHS
RQNLLJ,F,1.3,0.5,PYHS
ITECYE,F,3.3,0.0,HJHS
ZIYJYG,F,5.0,0.0,SSHS
MVXUBG,M,2.7,1.0,MWHS
QVCRJX,F,0.6,0.0,SWHS
BLPYKV,F,0.0,0.0,PYHS
DTEJML,F,0.3,0.0,SSHS
QPOLXG,F,1.0,1.0,NKHS
WYTZTB,M,0.0,1.5,SSHS
RLQZAP,F,0.9,0.0,NKHS
LLBGHT,F,0.8,0.0,NKHS
QGAUCR,M,0.0,0.5,SWHS
AVDMXK,F,4.6,0.0,SSHS
BFOCIN,F,1.5,0.0,PYHS
KMRJHA,M,0.6,0.0,MWHS
GABSBS,M,4.3,1.5,HJHS
BNTVLW,M,1.6,1.5,SSHS
SRVGIO,M,0.7,0.0,MWHS
JHSMHL,F,1.4,0.0,SWHS
PVIOBC,M,2.1,0.0,NKHS
KWRUHN,F,3.1,0.5,HJHS
WCRHZY,F,2.1,1.0,HJHS
PSRSPR,M,1.2,0.0,HJHS
FQJZBZ,M,2.2,0.0,MWHS
JSMFPB,M,0.0,0.5,MWHS
FDJZEB,F,0.4,1.0,SWHS
UQMCYP,F,0.0,0.0,SSHS
LTLVCF,F,3.9,0.5,PYHS
SVGZYY,M,1.5,0.0,SWHS
REGFNE,M,0.0,0.0,SSHS
SQNPKM,F,2.7,0.0,HJHS
NTMTHY,F,0.7,0.0,SWHS
LCFMFY,F,0.5,0.0,HJHS
AJLFZQ,F,3.6,1.5,SSHS
WDVYSW,M,2.4,0.0,PYHS
TRSJBT,F,4.6,0.0,SWHS
ITXCTQ,M,6.0,0.5,SWHS
LZJDXS,M,0.9,0.0,MWHS
NFCPXV,F,3.5,0.0,SSHS
NMUQFA,F,4.0,0.0,NKHS
WWGIAI,F,1.4,0.5,SSHS
TQENKQ,F,3.7,0.0,MWHS
WMCWRE,M,0.0,0.0,MWHS
OCCAMO,F,3.4,0.0,MWHS
WHGCAG,M,2.6,0.0,SSHS
XSPFNF,M,0.0,0.0,MWHS
SRPOIG,M,2.9,0.0,NKHS
ADGIXY,F,4.4,0.0,SWHS
OFFDAU,F,0.0,0.0,PYHS
ELJJJO,F,2.8,1.0,NKHS
HBAVLN,F,2.2,0.0,SWHS
JIBPOF,M,2.1,1.0,HJHS
EKXWBU,M,3.7,0.5,NKHS
YWHHAK,F,1.7,1.0,HJHS
YQLUOL,F,4.6,0.0,SSHS
VECENK,M,4.7,0.0,SSHS
WDHQHX,M,2.0,0.0,MWHS
EECZPU,F,0.0,0.0,PYHS
NDXRGJ,F,3.3,0.0,SWHS
EEJAQU,F,7.5,1.5,NKHS
AKPFHR,F,1.7,0.0,MWHS
XWAARD,F,3.1,1.0,SWHS
ILDFJZ,M,1.5,0.0,SWHS
SNFNFS,F,0.3,0.0,NKHS
AEJVRJ,F,2.2,0.0,SWHS
SVVXUY,F,1.0,0.0,SSHS
DTBOKD,M,0.3,0.0,NKHS
UZAYVK,M,2.0,1.5,HJHS
MJCPWE,M,0.1,0.0,PYHS
JKKFFE,M,2.8,0.0,SSHS
QNHSNF,M,1.9,0.0,SWHS
YSTSWP,F,6.2,0.0,SWHS
ZQZGAS,F,4.4,0.5,HJHS
TSIAIQ,F,2.2,0.0,HJHS
BJIBIC,M,1.7,0.0,NKHS
FEMTPL,F,2.5,1.5,PYHS
TOLUKH,F,3.2,0.0,PYHS
TXUGLG,F,0.7,0.0,PYHS
WAQUGY,M,0.0,0.0,MWHS
EKDDCU,M,1.9,0.0,HJHS
GDRZSL,M,0.0,0.0,NKHS
GINPHQ,F,0.0,1.0,PYHS
PZSOLE,M,0.3,0.5,NKHS
HRXSMM,F,0.0,0.0,PYHS
WVHSSV,M,1.3,0.0,NKHS
KAANCP,F,3.3,1.0,SSHS
PHUFHL,F,1.3,0.0,SSHS
IOVCNG,M,2.7,0.5,SWHS
YJATIH,F,2.5,0.0,SWHS
NEBXIJ,M,0.7,0.0,NKHS
YCVHKH,M,1.1,0.0,SSHS
HXXMEA,M,0.8,0.0,SSHS
ODTJFQ,F,2.4,0.0,HJHS
MNJYDA,M,6.8,0.0,NKHS
ZOSPIT,M,0.0,0.0,NKHS
EOCWQI,F,0.0,0.0,NKHS
UTDCCX,F,3.6,0.5,MWHS
KKXWJH,F,4.2,0.0,HJHS
VHBQXA,M,3.4,0.0,HJHS
EOMWKD,F,2.4,0.0,MWHS
TEAJCX,M,0.1,0.0,MWHS
UCUEAW,M,0.0,0.0,MWHS
ULRQMW,M,2.4,0.0,NKHS
PWUKUG,M,0.6,0.0,PYHS
FCLNTM,F,0.0,0.0,SWHS
XLWSJZ,M,1.7,1.0,HJHS
FETROG,F,2.2,1.5,SSHS
DXCRQJ,F,0.0,0.0,SSHS
TGDBZY,M,0.6,1.0,HJHS
YDNRRB,F,0.0,0.0,SSHS
KBGSLU,M,1.6,0.0,HJHS
KGKTFW,M,1.1,0.0,MWHS
CRBBMD,F,1.7,0.0,MWHS
TZRNON,F,0.4,1.5,NKHS
VWIYCJ,M,2.1,0.0,SWHS
UXHZWI,M,3.1,0.0,PYHS
DRSMIH,F,0.0,1.5,PYHS
ZJUWKG,F,3.0,0.0,SSHS
OAHHDT,F,0.9,0.0,SWHS
VULKZC,M,3.1,0.0,PYHS
EEDMRI,M,1.2,0.0,HJHS
QPIJWE,F,1.8,0.0,NKHS
NTJMOJ,F,2.5,0.0,MWHS
ABBDMJ,M,0.0,1.0,PYHS
SKCRFC,M,5.0,0.0,HJHS
UUINUL,F,3.2,0.0,NKHS
FOUNQP,M,2.3,1.0,SWHS
FGDSOI,F,3.7,1.0,SSHS
KSZRSG,M,4.0,0.0,HJHS
ZCHZXT,M,0.0,0.0,PYHS
NPXHWU,F,0.0,1.5,MWHS
MOQGBG,M,2.7,0.5,HJHS
MBRTLU,M,2.9,0.0,SSHS
OPNPIS,F,2.3,0.0,SSHS
ZTPXGV,M,0.0,0.0,MWHS
GRYOND,F,0.9,0.0,PYHS
SJNDUY,M,2.1,0.0,HJHS
OGGGIS,M,5.8,0.0,NKHS
MSKUER,F,3.4,0.0,PYHS
ACDWWQ,M,3.2,0.0,PYHS
TUOBCG,M,0.1,0.0,MWHS
VCBEAI,M,0.4,0.0,NKHS
XBEGPO,F,0.6,1.0,MWHS
GNKXDJ,M,8.3,0.0,SSHS
GIIFPN,F,0.9,0.0,SSHS
RTZXPJ,F,5.3,0.0,HJHS
IZDQRM,M,2.2,1.5,SWHS
RIRRHC,M,2.1,1.0,MWHS
BTXKXA,M,0.0,0.5,MWHS
VANZHW,M,4.1,0.0,SWHS
TOHVSO,F,2.4,0.0,PYHS
PAXOUW,M,-0.0,0.5,MWHS
ODTMXA,F,0.7,0.5,HJHS
JPOZDL,M,3.0,0.0,HJHS
XLVORN,M,0.0,0.0,HJHS
AHMDXP,F,1.6,0.0,PYHS
NWTOXQ,M,0.0,0.0,NKHS
ILSWCK,M,0.6,0.0,PYHS
EEZTDB,F,0.7,0.0,HJHS
BKQIAT,F,0.8,0.0,PYHS
FPWZZE,M,0.3,1.0,PYHS
BUBFAD,F,1.3,0.0,SWHS
WSOBGJ,M,0.0,0.5,SWHS
ZXOTRH,M,1.1,0.0,SWHS
NJECKF,F,4.2,0.0,HJHS
AYPSQB,M,2.5,0.0,HJHS
WVDDOZ,M,5.6,0.5,SSHS
AALVJM,M,0.6,0.0,SSHS
BNYLMH,F,0.0,0.0,SSHS
SEJVZN,M,0.0,2.0,PYHS
KHDTBW,M,0.0,0.0,NKHS
NIHGYW,M,2.9,0.0,PYHS
BHYJEY,M,0.0,0.0,SSHS
KNHPVT,M,0.1,0.0,SWHS
STSGKS,F,2.8,0.0,SWHS
RNYIUB,M,2.8,0.0,NKHS
HOYRQZ,M,4.8,0.0,SSHS
USWVAY,F,1.9,0.0,SSHS
KCCMAW,M,4.2,0.0,MWHS
GECDMI,M,0.3,0.0,MWHS
EAFWKD,F,0.0,0.0,SWHS
PAOPXM,M,3.1,0.0,PYHS
BYVMVA,F,2.7,0.0,PYHS
RARYMO,F,0.7,0.0,MWHS
UIBYWI,F,2.3,0.0,HJHS
LTPPLE,F,2.6,0.0,SSHS
CGNAIC,M,0.0,0.5,SSHS
YRNPRE,F,6.3,0.5,SSHS
AADQPH,F,2.7,0.0,NKHS
ZIXESK,M,6.2,0.0,MWHS
ILNMKL,M,1.1,0.0,SWHS
BUCDVA,M,0.0,0.0,MWHS
MZYASN,F,1.9,0.5,PYHS
GXJKCQ,F,1.2,0.0,SSHS
WDFOTR,M,6.4,0.0,MWHS
VTDKUE,M,5.8,0.0,HJHS
XCKWHD,F,1.6,0.0,PYHS
SXCLHS,F,4.9,0.5,NKHS
JEEHYI,F,0.3,2.0,HJHS
XRDGUU,M,0.0,0.0,MWHS
EZCBMV,F,1.3,0.0,SWHS
UKVLCS,M,0.1,0.0,MWHS
HIIEGQ,F,3.2,0.0,MWHS
JERTSU,F,1.9,0.0,SSHS
ICLRIO,F,2.0,0.0,SWHS
PTGLXB,F,6.1,0.0,MWHS
MVJMIF,M,0.0,0.0,SSHS
EDVFVV,F,3.2,0.0,SSHS
ICQFIJ,M,6.1,0.0,NKHS
PMIHPU,F,0.3,0.0,NKHS
FMAIRO,M,0.0,0.0,SSHS
QLVRBJ,M,1.9,0.0,PYHS
XTURBR,F,2.9,0.0,PYHS
PSAIKK,M,1.1,0.0,SSHS
IHWTHX,M,4.5,0.0,NKHS
JIGIMA,M,1.2,0.0,NKHS
TJZARF,M,3.6,0.5,SSHS
GHJODK,F,3.3,0.0,MWHS
CESWWV,M,4.1,0.0,MWHS
FJGFHH,F,3.4,0.0,SSHS
GVAKFM,F,2.8,1.0,PYHS
CPKWUY,M,1.9,0.0,PYHS
TFQYOP,M,3.2,0.0,SSHS
SCUCMK,F,1.9,0.0,SWHS
AYRLOV,F,1.7,0.0,NKHS
RTWIIN,M,4.0,0.0,NKHS
NKRWIY,F,1.6,0.5,HJHS
TCZCJF,M,0.0,0.0,PYHS
SKTXBJ,F,0.6,0.0,SSHS
XTZENQ,M,4.3,0.0,SSHS
PZWGZL,F,1.5,2.0,HJHS
HTBIBG,F,1.4,0.5,SSHS
AZOJTL,M,0.1,0.0,NKHS
APMZCY,M,5.6,0.0,PYHS
PQYWIY,F,4.0,0.0,PYHS
CUKWWT,F,4.6,0.0,NKHS
NWIBKA,F,0.0,0.0,PYHS
CRDSFF,F,0.0,1.0,PYHS
YFQQSA,F,0.0,0.0,SWHS
NMAXTJ,F,3.2,0.0,NKHS
TZBPLO,M,0.9,0.0,HJHS
NYOOHY,F,2.4,0.0,HJHS
VEYPOL,M,0.5,0.5,NKHS
ZTAFUT,M,1.5,1.5,PYHS
SUWHCU,F,0.0,0.0,SWHS
KSTFRV,M,1.6,1.0,PYHS
MXXCLQ,M,5.5,0.0,PYHS
QGBJIX,F,2.5,0.0,SWHS
TKQKBH,F,0.8,1.5,MWHS
HNIMDB,M,0.1,0.0,MWHS
SXSKHU,M,2.3,0.5,NKHS
RTIKRF,M,0.5,1.0,MWHS
YLWKCA,M,3.3,0.0,SSHS
CURDVW,M,0.0,0.0,SWHS
DZRKLM,F,4.2,1.0,NKHS
XMGNSI,F,3.4,0.5,MWHS
JMGNQU,M,2.1,0.5,PYHS
DCTPSX,F,2.5,0.5,SWHS
WWGAFE,M,7.1,1.5,PYHS
TUAQLD,F,2.4,1.0,SWHS
OHMDQS,F,5.7,0.5,NKHS
WYBMCY,M,0.0,0.0,SSHS
BBSINI,F,2.3,0.5,PYHS
TJLFYW,M,0.0,0.5,NKHS
HWAGOV,F,3.5,2.0,SWHS
GXKHUP,F,3.1,1.0,PYHS
YYZEPG,F,0.0,1.0,PYHS
SNSTTZ,F,0.0,0.0,SWHS
HVZWXV,F,1.6,0.0,PYHS
QDDDSQ,M,3.0,0.0,SWHS
BJERGX,F,1.0,0.0,HJHS
BQMDVV,M,2.4,2.0,MWHS
IQBEYP,M,2.6,1.5,NKHS
OSMAUQ,M,0.4,0.0,SWHS
JMXVNP,F,4.0,0.0,SWHS
ZORQOD,F,2.6,0.0,SSHS
ZLWHUS,F,2.8,0.5,HJHS
WPFTUG,F,0.0,0.0,SSHS
WWMYAZ,M,4.9,0.0,SWHS
PJFUJA,F,1.0,0.0,PYHS
CHVNDK,F,4.4,0.0,MWHS
YRWKCG,M,0.7,0.0,SWHS
OPFBQN,M,0.8,0.0,HJHS
BYPDTB,M,0.9,1.5,HJHS
FAAUEM,F,0.0,0.0,SSHS
HBWXHC,F,0.7,0.0,MWHS
SCSALK,F,2.0,0.5,SSHS
OTCSIW,F,3.7,0.0,HJHS
PQGPUZ,M,2.6,0.0,NKHS
RBGJEF,F,2.4,0.0,HJHS
NCLHLH,F,2.9,0.0,MWHS
YFTYEP,M,5.1,0.0,SWHS
ZFTCZG,M,0.7,0.0,MWHS
SFVOKR,M,0.0,1.0,MWHS
GTNAHY,M,0.3,0.0,SWHS
EDNULF,F,2.8,0.0,SWHS
PYHRHF,M,4.3,0.0,NKHS
TFHLUE,F,1.7,1.0,NKHS
JHDLEA,F,0.8,2.0,NKHS
SJJXLV,F,0.4,0.0,SWHS
KVEALC,F,5.1,0.0,PYHS
EHFJTR,F,1.3,0.0,SSHS
WAKOQC,F,0.0,0.0,HJHS
ODDQUA,M,0.0,0.0,NKHS
VIYLOL,F,2.2,0.5,PYHS
KJXVCF,F,3.3,0.0,SWHS
XTBGAL,M,0.2,0.0,SWHS
WXXOXJ,M,-0.0,0.0,MWHS
BASZAU,F,3.7,0.0,NKHS
BGLZYN,F,2.3,0.0,NKHS
XRCYIE,F,0.7,0.0,PYHS
XZCAVM,F,0.0,0.0,SSHS
LWDLTY,F,0.5,0.0,HJHS
SZIVGC,F,1.6,0.0,PYHS
YQQITA,M,2.1,0.5,SWHS
LTURBA,F,3.1,0.0,SSHS
GFZAIW,M,3.7,1.5,NKHS
JJIJKP,F,0.2,0.5,SSHS
MXBZHR,M,4.0,0.0,SSHS
CIOMOF,M,1.2,0.0,HJHS
WNCZGY,F,0.1,0.0,SWHS
AKUVRB,F,3.8,0.0,MWHS
ZSVKQE,F,4.0,0.5,SWHS
HGARWV,F,1.6,0.5,NKHS
UJQEMU,M,0.0,0.0,PYHS
JAZGTT,M,2.4,0.0,MWHS
JWQXXB,M,2.1,0.0,NKHS
EYWBPV,M,0.0,0.5,HJHS
GUEPPJ,F,3.4,1.5,PYHS
JANGZD,M,1.2,0.0,SSHS
PDFALZ,F,0.9,0.0,PYHS
YXOHLZ,M,4.2,0.5,MWHS
BCXPQP,F,2.8,0.0,MWHS
LELYLH,F,3.8,0.0,MWHS
AXEMNJ,M,1.3,0.0,SSHS
DCVWUU,F,2.4,0.0,MWHS
GKZTGU,M,3.7,0.5,SSHS
QZLVOH,F,2.4,0.0,SSHS
QIRXUD,F,0.4,0.0,SWHS
FBMSGW,F,1.8,0.0,MWHS
FKLIGQ,M,1.4,0.0,MWHS
DEUFNS,F,4.0,0.0,MWHS
OUEZJU,F,3.0,0.5,NKHS
KLVCLT,F,1.7,0.0,SSHS
HUNRUT,F,2.9,0.0,SSHS
KIJBZW,F,1.7,0.5,SWHS
YLUWGE,F,3.1,0.0,PYHS
IHNZFH,M,2.8,0.0,NKHS
FKBDUU,F,0.6,1.0,NKHS
CFCJJN,M,0.7,0.0,MWHS
TBYOGG,F,0.0,0.5,MWHS
GUSJQW,F,0.0,0.0,SSHS
QRMTOW,F,4.3,0.0,NKHS
NNYQQK,M,0.1,0.0,SSHS
RLNLVV,M,3.5,0.0,HJHS
KKJFRP,M,3.5,0.0,MWHS
POPEMT,F,0.2,0.5,SWHS
KOEVIE,M,1.7,0.0,NKHS
CKYWMI,M,4.7,0.0,PYHS
LANXES,M,2.1,0.0,PYHS
YSLTVE,M,3.2,0.0,NKHS
HOPOSL,M,2.1,0.0,HJHS
GFFPSE,F,3.1,1.0,MWHS
SJKKLT,M,3.8,0.5,NKHS
ZDHAIU,M,3.1,0.0,SSHS
GKLILH,F,0.4,1.0,MWHS
ZJPHCM,M,0.0,0.0,NKHS
PRFMOC,F,0.3,0.5,HJHS
UMMIZY,F,4.4,0.0,SWHS
MAYXTC,M,1.7,0.5,NKHS
HXPOJO,M,0.3,0.0,PYHS
NIXVGY,F,0.9,0.0,NKHS
JOCRJY,M,0.5,0.0,SSHS
WAKASC,F,1.3,0.0,HJHS
SUIECJ,F,6.5,0.5,HJHS
BCRNIW,F,1.0,0.0,PYHS
JDHLTE,M,1.9,0.0,SWHS
AJNLRV,M,2.7,0.0,SWHS
EJKGBN,M,1.3,0.0,SSHS
NTABVJ,F,4.3,0.0,HJHS
CWBGZY,F,0.7,1.0,MWHS
RUDFLH,F,1.5,1.0,HJHS
NPUOQW,F,4.6,0.0,MWHS
TAMASB,M,0.0,0.0,PYHS
RUGTDV,F,3.2,0.0,PYHS
WKQEHH,M,2.2,0.5,PYHS
DTMHMX,F,2.8,1.0,HJHS
ETPPTY,F,2.5,1.0,PYHS
NXITEC,F,1.9,0.0,SWHS
GJUZRA,F,1.3,0.0,PYHS
ADVTSD,M,2.1,0.5,HJHS
WVGIWY,F,1.6,0.0,MWHS
CDFIIP,M,3.2,0.0,PYHS
TPQQEW,M,3.6,0.0,PYHS
YFQJYS,M,3.2,0.0,NKHS
YJDQUD,M,0.0,0.0,NKHS
SPNCXG,F,5.2,2.5,HJHS
TNNPHA,M,3.1,0.0,SSHS
YNSFGG,M,1.1,1.0,SWHS
MGKVPJ,M,6.3,0.0,SWHS
HCDLZI,M,2.1,0.0,SWHS
KLLZFW,M,0.0,0.0,SWHS
AWJEZV,F,1.1,0.0,NKHS
NOSWJX,M,0.4,1.0,SSHS
ACPFIT,F,2.7,0.0,NKHS
LRUEGJ,F,0.0,0.0,SWHS
IUDGQF,F,0.0,0.0,SSHS
SBFSTX,F,0.0,0.0,NKHS
HJBNMZ,M,1.8,0.0,HJHS
RQNQDY,F,0.7,0.0,SWHS
FDRSOZ,F,1.8,0.0,HJHS
ZBUONG,F,0.0,1.0,NKHS
PRNFVT,M,1.0,0.0,PYHS
UJNHGY,M,3.7,0.0,HJHS
NZVJVL,F,1.7,0.0,NKHS
KRCONE,M,2.1,0.0,SSHS
DKAQAQ,F,0.9,0.0,NKHS
YGBWEF,F,2.9,1.5,SWHS
RWSWVG,F,3.3,0.5,SWHS
FTCWNU,F,0.5,0.5,SSHS
BITAOL,F,-0.0,0.0,SSHS
KNYQZG,F,0.6,0.0,PYHS
MJBAUY,F,4.2,1.0,NKHS
SAGCNR,F,1.4,0.0,SSHS
GHXHLR,F,7.0,0.0,NKHS
PVADMO,M,3.3,0.0,HJHS
ZRKVVC,M,3.9,0.0,PYHS
BMOGDT,F,6.4,0.0,HJHS
QNOIZK,F,4.4,0.0,NKHS
HRKTXB,M,4.2,1.0,SWHS
MFSYQK,M,3.3,1.0,PYHS
GCADDH,F,2.0,0.0,MWHS
EQATXA,M,2.6,0.0,MWHS
NNZGQX,F,1.0,0.0,SSHS
HCGGJK,F,4.7,0.0,SSHS
FXKSMS,F,0.8,0.0,SSHS
OIGDJR,F,4.5,0.0,NKHS
XLGSAW,F,1.7,1.0,PYHS
EMONAW,F,1.0,0.0,MWHS
OFLPYK,M,3.1,0.5,MWHS
OPLEJX,M,2.8,0.0,NKHS
CKXUCF,M,2.8,0.0,SWHS
RFWUXT,F,3.5,0.0,HJHS
IFBRTM,F,3.5,0.0,PYHS
ZTJXKG,F,1.6,0.0,NKHS
SGCXUH,F,1.5,0.0,MWHS
QHWLIR,M,3.8,0.0,HJHS
RXDWNP,F,3.7,2.0,MWHS
DCBTDK,F,4.3,0.5,SSHS
ONXKUA,M,0.0,0.0,MWHS
XHSOZT,M,1.7,0.0,SWHS
THJPJA,F,0.0,1.5,MWHS
XGDHWX,M,2.0,0.0,PYHS
GVBVAY,F,1.5,0.0,NKHS
MAVHIW,M,1.8,0.0,SWHS
HYDPSO,F,4.1,0.0,SSHS
RTPCCY,M,2.1,0.0,PYHS
NHZCIT,F,3.2,0.5,SWHS
CXFGDM,F,3.5,0.0,HJHS
ETVXLB,F,4.5,0.0,MWHS
HOHERI,M,0.0,0.0,PYHS
SUBSMI,M,1.7,0.0,SWHS
FRATDL,M,2.9,0.0,HJHS
UHDHDU,F,3.0,0.0,SWHS
SKOMAJ,F,0.0,0.0,PYHS
IRJJBG,M,3.2,0.5,NKHS
GCLPFB,M,4.0,0.0,SSHS
XWVIMH,F,0.2,0.0,SWHS
GONVPA,M,3.1,0.5,HJHS
LDUQHS,F,0.0,0.0,HJHS
LDCSAD,F,0.3,1.0,SSHS
LSXUHN,F,0.0,0.0,NKHS
GETITX,M,3.9,1.0,PYHS
NFCFPC,F,2.2,0.0,SWHS
RLSMGA,F,1.3,0.0,SWHS
KKELVN,F,2.0,0.0,MWHS
FXCKSK,F,0.1,0.0,SWHS
OGGILL,M,2.2,0.5,HJHS
SCPQZV,M,4.3,2.0,SWHS
ESITTQ,M,3.6,0.0,PYHS
CLIUGW,M,1.6,0.5,PYHS
RBOMGE,F,5.3,0.5,PYHS
EFJLZR,M,2.7,0.0,PYHS
NJBTSH,M,2.5,0.0,PYHS
CPIKMN,F,0.7,1.0,HJHS
FIOAZK,F,2.6,0.0,NKHS
BGHMOT,M,1.0,0.0,MWHS
ELFZHM,M,1.6,0.5,NKHS
WQQPNF,M,4.7,0.0,SSHS
DFBGIG,F,4.8,0.0,SWHS
KZKJBF,M,3.1,0.0,SSHS
GZJPUU,M,4.2,0.0,SSHS
HAHIRT,M,0.0,1.0,SWHS
EJADJO,F,2.9,0.5,PYHS
ELIFGP,F,0.7,0.0,HJHS
AKFTZE,F,2.1,1.5,HJHS
LELLZX,M,5.5,0.5,NKHS
JKNIOM,M,1.4,0.5,SWHS
AEAOVG,M,4.4,1.0,NKHS
AVYPTX,M,0.0,0.0,PYHS
WWIEMC,M,0.0,0.0,MWHS
OCIVXY,M,3.3,0.0,NKHS
NMOSPM,F,2.2,1.0,SWHS
CYBLVE,M,0.8,1.0,SWHS
SELDJH,F,6.7,0.0,PYHS
CHTRUL,F,2.6,1.0,HJHS
TNHAVU,F,2.1,1.0,SSHS
HCWPRD,F,-0.0,0.0,HJHS
SQOMST,M,4.7,0.0,PYHS
NYLRKK,M,0.0,0.0,SSHS
OHISNZ,M,2.5,0.5,SWHS
ZUYXXT,M,1.4,0.0,SSHS
DENFGB,M,0.0,0.0,HJHS
TULCXT,M,1.5,0.0,PYHS
NGMYDX,F,0.0,0.0,SSHS
SWWBNJ,M,1.8,0.5,HJHS
IGZBXF,M,3.3,0.0,NKHS
JPPZDQ,F,3.3,0.5,SSHS
FKXTGH,F,0.0,0.5,SSHS
QDVEGD,M,2.5,0.0,HJHS
NEISEJ,F,5.7,0.5,PYHS
LYZSKH,M,1.5,0.0,HJHS
MZYEJV,F,2.6,0.0,NKHS
DMOIXY,F,5.5,0.0,PYHS
BHIYFX,M,3.9,1.0,MWHS
BESDUW,M,3.3,0.0,SSHS
EWNDBG,M,6.8,0.0,MWHS
THNZFQ,M,0.7,0.0,HJHS
UYAONN,F,2.1,0.0,SWHS
TVIPDE,M,3.6,0.5,PYHS
HUGYFU,M,0.0,0.0,NKHS
OOGOFY,M,4.2,0.5,HJHS
EMVIVF,M,0.0,0.0,SSHS
GCDRZO,M,0.0,0.0,NKHS
HJTBCS,F,3.5,0.0,PYHS
ZNSTVD,M,0.4,2.5,PYHS
PMYMEK,M,1.7,0.0,HJHS
RXHWII,F,2.8,2.5,HJHS
LKBDOV,F,2.3,2.5,SWHS
LZNVLD,F,1.1,0.0,NKHS
STLSVH,F,3.7,0.5,MWHS
PBAWDZ,F,3.6,1.0,SSHS
LTYKML,M,3.5,0.0,SSHS
EALDDT,F,3.3,1.0,PYHS
YWOKFN,M,0.0,0.5,SWHS
PKWWIA,F,6.1,0.0,SWHS
FQUOTI,M,1.5,2.0,PYHS
EJDIGI,F,3.9,1.0,NKHS
YMCZXG,F,2.7,0.0,SSHS
SGLKCF,F,2.9,0.0,NKHS
FPCIZY,F,3.7,0.0,SWHS
KLGYUX,F,3.2,0.0,PYHS
EKNZYA,M,4.1,0.5,SWHS
PPUHKQ,M,1.7,0.0,PYHS
TUHPOO,M,0.7,0.0,SSHS
MFRGNH,M,4.6,1.5,SSHS
HWTXAR,M,0.0,1.0,HJHS
WEKATA,M,4.1,0.0,SWHS
